iter	Passed	Remaining
0	155	23200
1	159	11798
2	163	8027
3	167	6126
4	172	4997
5	175	4219
6	180	3689
7	188	3351
8	195	3059
9	198	2784
10	204	2584
11	207	2391
12	214	2264
13	220	2144
14	224	2017
15	228	1917
16	231	1812
17	236	1732
18	238	1647
19	243	1580
20	245	1510
21	248	1446
22	253	1397
23	255	1343
24	260	1302
25	263	1254
26	267	1218
27	270	1177
28	273	1142
29	277	1108
30	279	1073
31	285	1054
32	288	1023
33	292	999
34	295	971
35	300	950
36	302	924
37	307	906
38	309	882
39	311	857
40	314	836
41	316	814
42	318	792
43	320	771
44	323	754
45	325	735
46	326	716
47	328	698
48	331	683
49	333	667
50	338	656
51	340	641
52	342	626
53	343	610
54	345	596
55	347	582
56	348	569
57	350	555
58	351	542
59	354	531
60	356	520
61	358	508
62	360	497
63	363	488
64	365	477
65	367	467
66	369	457
67	372	448
68	373	439
69	375	429
70	377	419
71	379	411
72	381	402
73	382	393
74	384	384
75	386	376
76	389	369
77	390	360
78	392	352
79	394	345
80	396	337
81	398	330
82	399	322
83	401	315
84	404	309
85	406	302
86	407	295
87	409	288
88	411	282
89	413	275
90	414	268
91	416	262
92	417	256
93	419	250
94	421	244
95	423	238
96	424	231
97	426	226
98	428	220
99	429	214
100	431	209
101	432	203
102	435	198
103	436	193
104	438	187
105	439	182
106	441	177
107	443	172
108	445	167
109	446	162
110	448	157
111	449	152
112	452	148
113	453	143
114	455	138
115	456	133
116	458	129
117	460	124
118	462	120
119	463	115
120	465	111
121	467	107
122	469	102
123	470	98
124	472	94
125	473	90
126	476	86
127	478	82
128	479	78
129	481	74
130	483	70
131	485	66
132	487	62
133	488	58
134	490	54
135	492	50
136	494	46
137	496	43
138	497	39
139	500	35
140	501	32
141	503	28
142	504	24
143	506	21
144	508	17
145	510	13
146	512	10
147	513	6
148	515	3
149	518	0
